year,state,measles_cases,mumps_cases
2013,SD,,
2013,TN,,
2013,TX,27.0,
2013,UT,,
2013,VA,,
2013,VT,,
2013,WA,4.0,
2013,WI,,
2013,WV,,
2013,WY,,
2014,AK,,
2014,AL,1.0,
2014,AR,,
2014,AZ,3.0,
2014,CA,92.0,
2014,CO,1.0,
2014,CT,5.0,
2014,DC,,
2014,DE,,
2014,FL,,
2014,GA,,
2014,HI,15.0,
2014,IA,,
2014,ID,,
2014,IL,2.0,
2014,IN,1.0,
2014,KS,14.0,
2014,KY,,
2014,LA,,
2014,MA,8.0,
2014,MD,,
2014,ME,,
2014,MI,5.0,
2014,MN,2.0,
2014,MO,27.0,
2014,MS,,
2014,MT,,
2014,NC,1.0,
2014,ND,,
2014,NE,1.0,
2014,NH,,
2014,NJ,3.0,
2014,NM,1.0,
2014,NV,,
2014,NY,27.0,
2014,OH,382.0,
2014,OK,,
2014,OR,6.0,
2014,PA,3.0,
2014,RI,,
2014,SC,,
2014,SD,8.0,
2014,TN,4.0,
2014,TX,10.0,
2014,UT,3.0,
2014,VA,2.0,
2014,VT,,
2014,WA,33.0,
2014,WI,2.0,
2014,WV,,
2014,WY,,
2015,AK,,
2015,AL,,
2015,AR,,
2015,AZ,7.0,
2015,CA,109.0,
2015,CO,1.0,
2015,CT,,
2015,DC,3.0,
2015,DE,1.0,
2015,FL,5.0,
2015,GA,1.0,
2015,HI,,
2015,IA,,
2015,ID,,
2015,IL,17.0,
2015,IN,,
2015,KS,,
2015,KY,,
2015,LA,,
2015,MA,,
2015,MD,,
2015,ME,,
2015,MI,1.0,
2015,MN,2.0,
2015,MO,1.0,
2015,MS,,
2015,MT,,
2015,NC,,
2015,ND,,
2015,NE,3.0,
2015,NH,,
2015,NJ,3.0,
2015,NM,,
2015,NV,9.0,
2015,NY,6.0,
2015,OH,1.0,
2015,OK,1.0,
2015,OR,,
2015,PA,1.0,
2015,RI,,
2015,SC,,
2015,SD,2.0,
2015,TN,,
2015,TX,1.0,
2015,UT,1.0,
2015,VA,1.0,
2015,VT,,
2015,WA,10.0,
2015,WI,,
2015,WV,,
2015,WY,,
