year,state,measles_cases,mumps_cases,pertussis_cases
2009,ME,,,78.0
2009,MI,,,822.0
2009,MN,,,224.0
2009,MO,,,960.0
2009,MS,,,92.0
2009,MT,,,83.0
2009,NC,,,223.0
2009,ND,,,29.0
2009,NE,,,281.0
2009,NH,,,75.0
2009,NJ,,,151.0
2009,NM,,,68.0
2009,NV,,,24.0
2009,OH,,,1065.0
2009,OK,,,77.0
2009,OR,,,245.0
2009,PA,,,594.0
2009,RI,,,59.0
2009,SC,,,247.0
2009,SD,,,50.0
2009,TN,,,187.0
2009,TX,,,2326.0
2009,UT,,,226.0
2009,VA,,,198.0
2009,VT,,,12.0
2009,WA,,,419.0
2009,WI,,,132.0
2009,WV,,,32.0
2009,WY,,,20.0
2010,AK,,,49.0
2010,AL,,,285.0
2010,AR,,,278.0
2010,AZ,,,409.0
2010,CA,,,2850.0
2010,CO,,,628.0
2010,CT,,,108.0
2010,DC,,,12.0
2010,DE,,,14.0
2010,FL,,,500.0
2010,GA,,,229.0
2010,HI,,,46.0
2010,IA,,,631.0
2010,ID,,,185.0
2010,IL,,,875.0
2010,IN,,,560.0
2010,KS,,,162.0
2010,KY,,,264.0
2010,LA,,,90.0
2010,MA,,,348.0
2010,MD,,,134.0
2010,ME,,,78.0
2010,MI,,,1445.0
2010,MN,,,724.0
2010,MO,,,975.0
2010,MS,,,76.0
2010,MT,,,111.0
2010,NC,,,223.0
2010,ND,,,51.0
2010,NE,,,215.0
2010,NH,,,76.0
2010,NJ,,,158.0
2010,NM,,,132.0
2010,NV,,,33.0
2010,OH,,,1771.0
2010,OK,,,91.0
2010,OR,,,324.0
2010,PA,,,938.0
2010,RI,,,31.0
2010,SC,,,348.0
2010,SD,,,30.0
2010,TN,,,225.0
2010,TX,,,2589.0
2010,UT,,,237.0
2010,VA,,,328.0
2010,VT,,,17.0
2010,WA,,,474.0
2010,WI,,,493.0
2010,WV,,,125.0
2010,WY,,,21.0
2011,AK,,1.0,43.0
2011,AL,,1.0,197.0
2011,AR,,3.0,183.0
2011,AZ,,1.0,666.0
2011,CA,,37.0,3080.0
2011,CO,,3.0,663.0
2011,CT,,,108.0
2011,DC,,1.0,12.0
2011,DE,,,25.0
2011,FL,,11.0,330.0
2011,GA,,5.0,235.0
2011,HI,,3.0,93.0
2011,IA,,7.0,632.0
2011,ID,,2.0,187.0
2011,IL,,75.0,945.0
2011,IN,,3.0,606.0
2011,KS,,4.0,163.0
2011,KY,,,273.0
2011,LA,,,41.0
2011,MA,,4.0,252.0
2011,MD,,2.0,136.0
2011,ME,,2.0,200.0
2011,MI,,11.0,1500.0
2011,MN,,1.0,739.0
2011,MO,,12.0,573.0
2011,MS,,3.0,77.0
2011,MT,,,135.0
2011,NC,,9.0,184.0
2011,ND,,4.0,59.0
2011,NE,,6.0,221.0
2011,NH,,,146.0
2011,NJ,,12.0,196.0
2011,NM,,2.0,249.0
2011,NV,,,33.0
2011,OH,,16.0,1806.0
2011,OK,,4.0,91.0
2011,OR,,4.0,326.0
2011,PA,,3.0,950.0
2011,RI,,4.0,28.0
2011,SC,,1.0,348.0
2011,SD,,,31.0
2011,TN,,1.0,227.0
2011,TX,,62.0,2608.0
2011,UT,,,290.0
2011,VA,,9.0,366.0
2011,VT,,1.0,76.0
2011,WA,,2.0,703.0
2011,WI,,4.0,724.0
2011,WV,,1.0,125.0
2011,WY,,1.0,10.0
2012,AK,,1.0,313.0
2012,AL,,1.0,195.0
2012,AR,,1.0,171.0
2012,AZ,,3.0,912.0
2012,CA,,23.0,651.0
2012,CO,,5.0,1480.0
2012,CT,,,172.0
2012,DC,,2.0,19.0
2012,DE,,,54.0
2012,FL,,6.0,582.0
2012,GA,,3.0,262.0
2012,HI,,1.0,101.0
2012,IA,,3.0,1639.0
2012,ID,,,227.0
2012,IL,,31.0,1859.0
2012,IN,,4.0,373.0
2012,KS,,4.0,731.0
2012,KY,,1.0,553.0
2012,LA,,2.0,67.0
2012,MA,,3.0,606.0
2012,MD,,1.0,346.0
2012,ME,,,703.0
2012,MI,,7.0,723.0
2012,MN,,7.0,2183.0
2012,MO,,6.0,853.0
2012,MS,,2.0,76.0
2012,MT,,1.0,442.0
2012,NC,,1.0,566.0
2012,ND,,,372.0
2012,NE,,2.0,160.0
2012,NH,,1.0,216.0
2012,NJ,,,748.0
2012,NM,,,744.0
2012,NV,,,93.0
2012,OH,,6.0,893.0
2012,OK,,1.0,127.0
2012,OR,,5.0,901.0
2012,PA,,5.0,1842.0
2012,RI,,2.0,107.0
2012,SC,,1.0,214.0
2012,SD,,,65.0
2012,TN,,2.0,286.0
2012,TX,,15.0,1906.0
2012,UT,,3.0,1338.0
2012,VA,,7.0,566.0
2012,VT,,,630.0
2012,WA,,2.0,4604.0
2012,WI,,7.0,5994.0
2012,WV,,2.0,92.0
2012,WY,,1.0,62.0
2013,AK,,1.0,313.0
2013,AL,,2.0,176.0
2013,AR,,2.0,371.0
2013,AZ,,1.0,1292.0
2013,CA,,23.0,1462.0
2013,CO,,2.0,914.0
2013,CT,,4.0,57.0
2013,DC,,1.0,40.0
2013,DE,,,25.0
2013,FL,,2.0,729.0
2013,GA,,,188.0
2013,HI,,1.0,47.0
2013,IA,,3.0,270.0
2013,ID,,,214.0
2013,IL,,27.0,686.0
2013,IN,,3.0,448.0
2013,KS,,,347.0
2013,KY,,1.0,346.0
2013,LA,,2.0,166.0
2013,MA,,59.0,330.0
2013,MD,,87.0,196.0
2013,ME,,1.0,295.0
2013,MI,,7.0,858.0
