year,state,cancer_death_count
2000,FL,106638.0
2001,FL,108318.0
2002,FL,107361.0
2003,FL,106387.0
2004,FL,106810.0
2005,FL,110474.0
2006,FL,111608.0
2007,FL,114663.0
2008,FL,117282.0
2009,FL,117262.0
2010,FL,118932.0
2011,FL,125958.0
2012,FL,123640.0
2013,FL,132471.0
2014,FL,134178.0
2015,FL,138756.0
2016,FL,140556.0
2017,FL,140490.0
1999,GA,31329.0
2000,GA,34104.0
2001,GA,35744.0
2002,GA,36869.0
2003,GA,37146.0
2004,GA,38249.0
2005,GA,38879.0
2006,GA,40849.0
2007,GA,43881.0
2008,GA,44817.0
2009,GA,45726.0
2010,GA,45095.0
2011,GA,47096.0
2012,GA,48554.0
2013,GA,49116.0
2014,GA,51017.0
2015,GA,52775.0
2016,GA,54726.0
2017,GA,55556.0
1999,HI,5609.0
2000,HI,5474.0
2001,HI,5855.0
2002,HI,5909.0
2003,HI,5983.0
2004,HI,6306.0
2005,HI,6378.0
2006,HI,6454.0
2007,HI,6729.0
2008,HI,6994.0
2009,HI,7094.0
2010,HI,7023.0
2011,HI,7105.0
2012,HI,7173.0
2013,HI,7416.0
2014,HI,7406.0
2015,HI,7576.0
2016,HI,7815.0
2017,HI,8007.0
1999,ID,5376.0
2000,ID,5830.0
2001,ID,5902.0
2002,ID,6148.0
2003,ID,6194.0
2004,ID,6403.0
2005,ID,6800.0
2006,ID,7007.0
2007,ID,7434.0
2008,ID,7475.0
2009,ID,7692.0
2010,ID,7751.0
2011,ID,7919.0
2012,ID,7901.0
2013,ID,7827.0
2014,ID,8333.0
2015,ID,8688.0
2016,ID,8907.0
2017,ID,9332.0
1999,IL,60593.0
2000,IL,61174.0
2001,IL,63023.0
2002,IL,64344.0
2003,IL,63026.0
2004,IL,63828.0
2005,IL,64304.0
2006,IL,66267.0
2007,IL,67678.0
2008,IL,69109.0
2009,IL,69727.0
2010,IL,68394.0
2011,IL,69852.0
2012,IL,68951.0
2013,IL,69744.0
2014,IL,71175.0
2015,IL,72738.0
2016,IL,73382.0
2017,IL,74197.0
1999,IN,28611.0
2000,IN,29800.0
2001,IN,31231.0
2002,IN,31654.0
2003,IN,31699.0
2004,IN,31572.0
2005,IN,32181.0
2006,IN,33279.0
2007,IN,33535.0
2008,IN,34019.0
2009,IN,33880.0
2010,IN,34038.0
2011,IN,34587.0
2012,IN,34831.0
2013,IN,35479.0
2014,IN,36262.0
2015,IN,37405.0
2016,IN,38117.0
2017,IN,39203.0
1999,IA,16254.0
2000,IA,16190.0
2001,IA,16648.0
2002,IA,16793.0
2003,IA,16542.0
2004,IA,16775.0
2005,IA,16974.0
2006,IA,17320.0
2007,IA,17400.0
2008,IA,17586.0
2009,IA,18201.0
2010,IA,18131.0
2011,IA,18216.0
2012,IA,17863.0
2013,IA,17903.0
2014,IA,18739.0
2015,IA,19094.0
2016,IA,19460.0
2017,IA,19832.0
1999,KS,13057.0
2000,KS,13156.0
2001,KS,13167.0
2002,KS,13278.0
2003,KS,13625.0
2004,KS,13869.0
2005,KS,13934.0
2006,KS,14209.0
2007,KS,14894.0
2008,KS,15139.0
